aid,country_code,day_end,day_start,description,funder_ref,location_latitude,location_longitude,location_name,reporting,reporting_ref,sector_code,sector_group,status_code,activity_url
#activity+id,#country+name,#date+end,#date+start,#description,#org+funding+code,#geo+lat,#geo+lon,#loc+name,#org+reporting+name,#org+reporting+code,#subsector,#sector,#status,#activity+url
NL-KVK-27378529-FBK17DD03,Pakistan,2019-01-31,2017-11-01,"Muta is aware of the existence of child labour in Pakistan. With the due diligence exercise in this project, Muta wants to identify, prevent, mitigate and account for how to address actual and potential risks on child labour within their production chain of textiles in Pakistan. Mainly in the 2nd and 3rd tier child labour is suspected. By integrating the results into our own management processes Muta will gain better understanding on how child labour can be reduced in there supply chain.",NL-KVK-27378529,30.3753,69.3451,,Netherlands Enterprise Agency,NL-KVK-27378529,Employment creation,Other social infrastructure and services,Implementation,http://d-portal.org/q.html?aid=NL-KVK-27378529-FBK17DD03
US-GOV-1-AID-BFS-IO-17-00005,Pakistan,2022-09-30,2017-09-30,Consultative Group on International Agricultural Researc (CGIAR) Fund II follow-on grant to the World Bank,US-GOV-1,-15.1075,34.3256,Tsangano,U.S. Agency for International Development,US-GOV-1,Multi-hazard response preparedness,Disaster prevention and preparedness,Implementation,http://d-portal.org/q.html?aid=US-GOV-1-AID-BFS-IO-17-00005
US-GOV-1-AID-BFS-IO-17-00005,Pakistan,2022-09-30,2017-09-30,Consultative Group on International Agricultural Researc (CGIAR) Fund II follow-on grant to the World Bank,US-GOV-1,-15.1075,34.3256,Tsangano,U.S. Agency for International Development,US-GOV-1,Relief co-ordination and support services,Emergency response,Implementation,http://d-portal.org/q.html?aid=US-GOV-1-AID-BFS-IO-17-00005
US-GOV-1-AID-BFS-IO-17-00005,Pakistan,2022-09-30,2017-09-30,Consultative Group on International Agricultural Researc (CGIAR) Fund II follow-on grant to the World Bank,US-GOV-1,-15.1075,34.3256,Tsangano,U.S. Agency for International Development,US-GOV-1,Bio-diversity,General environmental protection,Implementation,http://d-portal.org/q.html?aid=US-GOV-1-AID-BFS-IO-17-00005
US-GOV-1-AID-BFS-IO-17-00005,Pakistan,2022-09-30,2017-09-30,Consultative Group on International Agricultural Researc (CGIAR) Fund II follow-on grant to the World Bank,US-GOV-1,-15.1075,34.3256,Tsangano,U.S. Agency for International Development,US-GOV-1,Biosphere protection,General environmental protection,Implementation,http://d-portal.org/q.html?aid=US-GOV-1-AID-BFS-IO-17-00005
US-GOV-1-AID-BFS-IO-17-00005,Pakistan,2022-09-30,2017-09-30,Consultative Group on International Agricultural Researc (CGIAR) Fund II follow-on grant to the World Bank,US-GOV-1,-15.1075,34.3256,Tsangano,U.S. Agency for International Development,US-GOV-1,Environmental policy and administrative management,General environmental protection,Implementation,http://d-portal.org/q.html?aid=US-GOV-1-AID-BFS-IO-17-00005
US-GOV-1-AID-BFS-IO-17-00005,Pakistan,2022-09-30,2017-09-30,Consultative Group on International Agricultural Researc (CGIAR) Fund II follow-on grant to the World Bank,US-GOV-1,-15.1075,34.3256,Tsangano,U.S. Agency for International Development,US-GOV-1,Agro-industries,Industry,Implementation,http://d-portal.org/q.html?aid=US-GOV-1-AID-BFS-IO-17-00005
US-GOV-1-AID-BFS-IO-17-00005,Pakistan,2022-09-30,2017-09-30,Consultative Group on International Agricultural Researc (CGIAR) Fund II follow-on grant to the World Bank,US-GOV-1,-15.1075,34.3256,Tsangano,U.S. Agency for International Development,US-GOV-1,Agricultural development,Agriculture,Implementation,http://d-portal.org/q.html?aid=US-GOV-1-AID-BFS-IO-17-00005
US-GOV-1-AID-BFS-IO-17-00005,Pakistan,2022-09-30,2017-09-30,Consultative Group on International Agricultural Researc (CGIAR) Fund II follow-on grant to the World Bank,US-GOV-1,-15.1075,34.3256,Tsangano,U.S. Agency for International Development,US-GOV-1,Agricultural policy and administrative management,Agriculture,Implementation,http://d-portal.org/q.html?aid=US-GOV-1-AID-BFS-IO-17-00005
